UML_ID,Parent_Com,Mill_name,RSPO_STATU,RSPO_Type,Date,Latitude,Longitude,GPS,GPS_X,GPS_Y,ISO,Country,Province,District,Confidence,Alternativ,UML_ID_1
PO1000003120,Pt. Sawit Sumbermas Sarana,Pks Selangkun Pt Sawit Sumbermas Sarana Tbk,RSPO Certified,"RSPO Certified, MB","43438",-2.41722220000,111.55472220000,"-2.4172222, 111.5547222",111.55472220000,-2.41722220000,IDN,Indonesia,Central Kalimantan,Kotawaringin Barat,1 - Fully Verified,,PO1000003120
PO1000003150,Wilmar International Limited,Pt. Mentaya Sawit Mas,RSPO Certified,"RSPO Certified, MB","43438",-2.16469000000,112.56942000000,"-2.16469, 112.56942",112.56942000000,-2.16469000000,IDN,Indonesia,Central Kalimantan,Kotawaringin Timur,2 - High Confidence,,PO1000003150
PO1000003177,Extractora Del Sur Del Casanares S.A.S.,Extractora Del Sur Del Casanares S.A.S.,RSPO Certified,"RSPO Certified, MB","43438",4.49344200000,-72.84430700000,"4.493442, -72.844307",-72.84430700000,4.49344200000,COL,Colombia,Casanare,Villanueva,1 - Fully Verified,,PO1000003177
PO1000003196,Felda,Kilang Sawit Pontian United Plantation Fgv-Pup,Not RSPO Certified,,"43438",5.42383700000,118.14541500000,"5.423837, 118.145415",118.14541500000,5.42383700000,MYS,Malaysia,Sabah,Kinabatangan,1 - Fully Verified,,PO1000003196
PO1000003210,Pt. Perkebunan Nusantara IV,Gunung Bayu,Not RSPO Certified,,"43438",3.14407500000,99.37348000000,"3.144075, 99.37348",99.37348000000,3.14407500000,IDN,Indonesia,North Sumatra,Simalungun,1 - Fully Verified,,PO1000003210
PO1000003254,Cargill Incorporated,Cargill - Hindoli Mill Mukut,RSPO Certified,"RSPO Certified, IP","43438",-2.44138900000,104.41944400000,"-2.441389, 104.419444",104.41944400000,-2.44138900000,IDN,Indonesia,South Sumatra,Musi Banyuasin,1 - Fully Verified,,PO1000003254
PO1000003257,Pt. Sawit Sumbermas Sarana,Pt Mitra Mendawai Sejati-Suayap Mill,RSPO Certified,"RSPO Certified, MB","43438",-2.26525280000,111.72307800000,"-2.2652528, 111.723078",111.72307800000,-2.26525280000,IDN,Indonesia,Central Kalimantan,Kotawaringin Barat,1 - Fully Verified,,PO1000003257
PO1000003258,Pt. Sawit Sumbermas Sarana,Pt Kalimantan Sawit Abadi,Not RSPO Certified,,"43438",-2.60415000000,111.66735000000,"-2.60415, 111.66735",111.66735000000,-2.60415000000,IDN,Indonesia,Central Kalimantan,Kotawaringin Barat,2 - High Confidence,,PO1000003258
PO1000003262,Felda,Fpisb Kilang Sawit Tersang,Not RSPO Certified,,"43438",4.10694400000,101.80138900000,"4.106944, 101.801389",101.80138900000,4.10694400000,MYS,Malaysia,Pahang,Lipis,1 - Fully Verified,,PO1000003262
PO1000003324,Oleoflores S A S,Oleoflores S.A.S,RSPO Certified,"RSPO Certified, MB","43438",10.09797200000,-73.23555600000,"10.097972, -73.235556",-73.23555600000,10.09797200000,COL,Colombia,Cesar,La Paz,1 - Fully Verified,,PO1000003324
